,A_Polarity,A_Subjectivity,Characters,Dale_Chall,Dale_Chall_Percentage,Flesch,S_Polarity,S_Subjectivity,Spache_Percentage,Weasel_Percentage,Word_Count,bin
17,-0.028363997113997112,0.5124007936507937,4.34349593495935,9.643002206736352,0.6747967479674797,69.47205188679249,-0.017797306397306388,0.31691851851851854,0.6504065040650406,0.07113821138211382,492,0
18,0.14249599655087464,0.4976176398127617,4.014545454545455,8.409776648841355,0.7654545454545455,70.19804615153903,0.1259610401399617,0.42280888954908563,0.7154545454545455,0.0890909090909091,1100,0
19,0.09106344475196934,0.3781544957774466,5.02723311546841,12.435598404012767,0.5098039215686274,39.51381245483984,0.05103337522692361,0.2813273285853931,0.47276688453159044,0.05010893246187364,918,0
20,0.08553090428090429,0.4624218374218373,4.65580182529335,12.174266686148451,0.5423728813559322,54.55481432360746,0.07346788907133736,0.3217223134464514,0.49282920469361147,0.04563233376792699,767,0
21,0.1544251146863087,0.4220028106222136,4.834924965893588,11.819767182052448,0.5457025920873124,41.29064028393239,0.15088219860947136,0.3755765446674537,0.5034106412005457,0.04229195088676671,733,0
22,0.12857524420024424,0.4601858211233212,4.615384615384615,11.23848190045249,0.5846153846153846,46.26131911985186,0.10504862953138815,0.3365187781567092,0.5160839160839161,0.027972027972027972,715,0
23,0.10521712662337661,0.4835064935064935,4.991891891891892,11.629488871224167,0.5621621621621622,36.69574979287492,0.07958198051948052,0.39846185064935064,0.5297297297297298,0.043243243243243246,370,0
24,0.044098124098124095,0.39305916305916305,4.654343807763401,11.158802310536043,0.5767097966728281,51.815760583667355,0.04667243867243868,0.2781121933621934,0.5378927911275416,0.025878003696857672,541,0
25,0.054968553459119496,0.19670859538784066,5.106796116504855,12.140504667846383,0.5395284327323162,28.2897368421053,0.04170274170274171,0.1434102934102934,0.5145631067961165,0.038834951456310676,721,0
0,0.0274841670675004,0.3327521244187911,5.138528138528138,12.298435625159156,0.5367965367965368,35.93761275568545,-0.01492703260281386,0.2647101596320346,0.4523809523809524,0.025974025974025976,462,0
1,0.1665343915343915,0.4424603174603175,5.0,11.78736263726453,0.5503080082135524,39.496777493606174,0.08699294532627867,0.19841269841269846,0.5174537987679672,0.057494866529774126,487,0
2,0.08132440476190476,0.29247023809523803,4.898148148148148,11.250868263090677,0.5879629629629629,41.23357142857145,0.0375400641025641,0.22772435897435897,0.566358024691358,0.07407407407407407,648,0
3,0.10207509881422924,0.46814888010540184,5.071428571428571,11.92258021978022,0.5631868131868132,30.235128205128234,0.06712436868686868,0.30355113636363634,0.5137362637362637,0.03021978021978022,364,0
4,0.16974806201550388,0.5735658914728682,4.915167095115681,10.050461089974293,0.6426735218508998,59.304195348837226,0.12597916666666667,0.4169027777777778,0.570694087403599,0.02056555269922879,389,0
5,0.1603125,0.2534375,4.941391941391942,11.692463503163504,0.5677655677655677,37.814421016246115,0.13016666666666668,0.18177777777777776,0.5457875457875457,0.040293040293040296,273,0
6,0.018333333333333326,0.36444444444444446,4.677777777777778,12.281102693602694,0.5296296296296297,49.73505928853757,-0.04,0.255,0.48148148148148145,0.044444444444444446,270,0
7,0.1792929292929293,0.3316919191919192,4.958791208791209,11.228389010989012,0.5906593406593407,44.81813881215473,0.13451704545454546,0.2629971590909091,0.5384615384615384,0.04395604395604396,364,0
8,-0.056552772624201206,0.2681753762110905,4.31715210355987,10.44115436893204,0.6229773462783171,77.60549077261427,-0.05522264087078903,0.19938850586998735,0.5501618122977346,0.0372168284789644,618,0
9,0.0774624918460535,0.43442596216568813,4.83288409703504,11.42060026954178,0.5822102425876011,45.478530820824034,0.040072278911564625,0.33645408163265295,0.522911051212938,0.07008086253369272,742,0
10,-0.04426745129870131,0.5448897456709957,4.8908629441624365,12.216427467569092,0.5253807106598984,55.07245491564865,-0.050375781625781636,0.5728986291486292,0.48223350253807107,0.0532994923857868,394,0
11,0.06782907196969697,0.3666604749417249,4.8381374722838135,11.741428504557772,0.565410199556541,40.06268305171534,0.04415993265993266,0.26994146594146595,0.5432372505543237,0.04878048780487805,451,0
12,0.09024015666872814,0.45205146705146726,4.730337078651686,11.170170697510466,0.5862524785194977,51.708141770978244,0.0804632459044224,0.30750626007978954,0.549239920687376,0.038334434897554524,1513,0
13,0.09431679431679434,0.359021534021534,5.139505389980976,12.121794768136112,0.5269499048826887,28.097479145101403,0.09873212043762894,0.3378699780288764,0.4825618262523779,0.05072923272035511,1577,0
