,0
470,0.16149935
471,0.029367309
472,0.63510936
473,0.5388737
474,0.029367309
475,0.43272367
476,0.029367309
477,0.029367309
478,0.02977645
479,0.029367309
480,0.03234641
481,0.029367309
482,0.029367309
483,0.03831941
484,0.029367309
485,0.029367309
486,3.178639e-07
487,0.002035158
488,0.029367309
489,0.70071197
490,0.029367309
491,0.23466344
492,0.029367309
493,0.029367309
494,0.5973365
495,0.029367309
496,0.029367309
497,0.029367309
498,0.05098098
499,0.0650127
500,0.040037353
501,0.46208143
502,0.0036281855
503,0.029367309
504,0.07113921
505,0.47676355
506,0.046313696
507,0.029367309
508,0.00021872953
509,0.029367309
510,0.04359851
511,0.1278694
512,0.029367309
513,0.029367309
514,0.029997889
515,0.029367309
516,0.8139879
517,0.12464606
518,2.3591915e-10
519,0.024883352
520,0.029367309
521,0.029367309
522,0.01187598
523,0.029367309
524,0.03901544
525,0.029367309
526,0.029367309
527,9.9190656e-05
528,0.9076355
529,0.28379223
530,0.10656713
531,0.46522465
532,7.542265e-07
533,0.36728254
534,0.73184204
535,0.029367309
536,0.39357895
537,0.029367309
538,0.056548823
539,0.029367309
540,0.02386632
541,7.127437e-05
542,0.4158659
543,0.31745785
544,0.1390847
545,0.029367309
546,0.029367309
547,0.033990555
548,0.44787115
549,0.2175237
550,0.029367309
551,0.0008547425
552,0.029367309
553,0.029367309
554,0.40247455
555,0.029367309
556,0.029367309
557,0.12444821
558,0.030652933
559,0.3621943
560,0.029093983
561,0.029367309
562,0.029367309
563,0.029367309
564,0.029367309
565,0.029367309
566,0.029367309
567,0.029367309
568,0.029367309
569,0.00057796313
570,0.21229084
571,0.029367309
572,0.029367309
573,0.029367309
574,5.425532e-12
575,0.095306575
576,1.3712789e-06
577,0.029367309
578,0.029367309
579,0.029367309
580,0.08412239
581,0.11257485
582,0.77830887
583,0.00017232442
584,0.029367309
585,0.029367309
586,0.029367309
587,0.6049357
588,0.0033422236
589,0.029367309
590,0.029367309
591,0.029367309
592,0.029367309
593,0.029367309
594,0.029367309
595,0.029367309
596,0.13977483
597,0.016998086
598,0.029367309
599,0.5001422
600,0.18234877
601,0.069155015
602,0.029367309
603,0.029367309
604,0.029367309
605,0.029367309
606,0.029367309
607,0.029367309
608,0.029367309
609,0.029367309
610,0.04707118
611,0.029367309
612,2.0093421e-15
613,0.029367309
614,0.06814043
615,0.071976416
616,3.8762327e-08
617,0.5265929
618,0.029367309
619,0.34272343
620,0.029367309
621,0.029367309
622,0.029367309
623,0.029367309
624,0.007605938
625,0.029367309
626,0.029575575
627,9.0128666e-17
628,0.43768346
629,0.43492746
630,0.029367309
631,0.029520003
632,0.4045764
633,0.029367309
634,0.10108325
635,0.018596977
636,0.029367309
637,0.029367309
638,0.029367309
639,0.36000273
640,0.029367309
641,1.3691886e-08
642,1.8368118e-07
643,0.029367309
644,0.00019364677
645,0.029367309
646,0.029760202
647,0.029367309
648,0.92571896
649,0.065537624
650,0.26910278
651,0.68414116
652,0.4617203
653,0.4396733
654,0.029367309
655,0.029367309
656,0.029367309
657,1.7897682e-05
658,1.0728134e-10
659,0.029367309
660,0.6836535
661,0.4285337
662,0.029367309
663,0.07600257
664,0.37154937
665,0.6660847
666,0.66405666
667,0.029367309
668,0.029367309
669,0.90403533
670,2.904079e-07
671,0.7522907
672,0.42148963
673,0.029367309
674,0.15308669
675,0.029367309
676,0.029367309
677,0.4046024
678,0.029367309
679,0.029367309
680,0.18892808
681,0.010193484
682,0.9466815
683,0.029367309
684,0.10113233
685,0.074265756
686,0.2687327
687,0.10531577
688,0.06453812
689,0.029367309
690,0.029367309
691,0.04507403
692,0.32157785
693,0.029367309
694,0.029367309
695,0.012043359
696,1.6125144e-06
697,0.0102706235
698,0.029367309
699,0.06779686
700,0.029367309
701,0.561596
702,7.861196e-16
703,0.029367309
704,0.1246653
705,0.09972871
706,0.040663406
707,0.5420732
708,0.029367309
709,2.980283e-11
710,0.029465327
711,0.17930384
712,0.029367309
713,3.0297503e-08
714,0.4621831
715,0.029367309
716,3.7025283e-10
717,0.029367309
718,0.029367309
719,0.07147939
720,0.029367309
721,0.21160404
722,4.698777e-15
723,0.16337088
724,0.49897167
725,0.03839696
726,0.029367309
727,0.1658832
728,1.1384428e-08
729,5.592399e-16
730,0.7013715
731,0.35013372
732,0.5274092
733,0.015355937
734,0.046349417
735,0.53423905
736,0.029367309
737,0.029367309
738,0.029367309
739,0.14758356
740,0.029367309
741,0.029367309
742,0.10660625
743,0.029367309
744,0.029367309
745,0.9548551
746,0.07012154
747,0.64448106
748,0.14141336
749,0.1604758
